"","Caso","Tipo","pvalor","pvalorL","pvalorG"
"1","1-2","MelhorResultado ~ Caso",2.80927319269287e-32,1,1.40463659634644e-32
"2","1-2","PiorResultado ~ Caso",0.884862563812905,0.557568718093547,0.442431281906453
"3","1-2","Media ~ Caso",6.48208737002271e-86,1,3.24104368501136e-86
"4","1-2","DesvioPadrao ~ Caso",1.19090465416907e-71,5.95452327084537e-72,1
"5","1-2","Tempo ~ Caso",2.91821624834869e-28,1.45910812417435e-28,1
