"","Caso","Tipo","pvalor","pvalorL","pvalorG"
"1","1-2","MelhorResultado ~ Caso",2.03889502566081e-28,1,1.0194475128304e-28
"2","1-2","PiorResultado ~ Caso",0.505436978197011,0.747281510901495,0.252718489098505
"3","1-2","Media ~ Caso",3.16471474048073e-60,1,1.58235737024036e-60
"4","1-2","DesvioPadrao ~ Caso",4.75067441788163e-48,2.37533720894082e-48,1
"5","1-2","Tempo ~ Caso",6.41376583146505e-33,3.20688291573252e-33,1
