"","Caso","melhor","pior","dpmelhor","dppior","mediamelhor","mediapior","mediageral"
"1","1",0.00050374424859001,1246.29973762838,0.000503146346195683,34.8175662513752,0.00115148186208292,1142.84021157569,70.581843399614
"2","2",0.000383347385763955,1231.79719919037,0.00047519293245215,31.2847239886392,0.00112543377568954,1138.28521639651,70.9745743700014
"3","3",5.06914830111782e-08,1222.00833977536,1.23636101996351e-07,35.4473146979814,2.12922585281679e-07,1137.00265936556,45.6004658944708
"4","4",6.97943960403791e-08,1222.35107889754,1.72427765857092e-07,36.5419531375395,2.57984781152724e-07,1135.74660849141,45.095722725319
"5","5",65.0232202033893,1229.71637402057,35.7277947123267,40.9149142047642,116.146827141984,1147.61593232002,148.64563010013
"6","6",112.546745689816,1205.21088597165,53.4437075049772,33.7709396985736,218.27490226009,1141.01441051622,239.144919103583
"7","7",1.87061598894741,1243.52271590101,3.3871596227479,40.0675418656033,7.53179033235407,1135.25401099169,332.112892886325
"8","8",22.8043180333814,1216.5203214165,7.25243929713469,38.022695067849,33.690744757209,1143.80125717346,223.616837464559
